frame,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,0.510695,0.645041,0.104735,0.999886,0.495433,0.626472,0.082007,0.999838,0.494682,0.621461,0.081761,0.999786,0.494053,0.61669,0.081878,0.99983,0.497011,0.628183,0.11707,0.999939,0.497362,0.624922,0.116653,0.999955,0.49763,0.622086,0.116613,0.999976,0.497914,0.585266,0.020392,0.999826,0.501535,0.592336,0.178573,0.999958,0.52211,0.62948,0.086764,0.99971,0.525001,0.631559,0.130791,0.999824,0.5405,0.562954,-0.066137,0.99987,0.58674,0.545979,0.259037,0.999858,0.541833,0.753728,-0.113664,0.92573,0.62003,0.699537,0.29898,0.185292,0.552226,0.905912,-0.059275,0.829638,0.621328,0.878103,0.241524,0.59553,0.549518,0.924887,-0.086755,0.840194,0.601223,0.899756,0.238657,0.637554,0.549543,0.916419,-0.069034,0.822813,0.594742,0.901548,0.20547,0.653532,0.553266,0.912578,-0.050669,0.773703,0.604369,0.896836,0.223618,0.622098,0.717081,0.452775,-0.090656,0.999887,0.740421,0.450973,0.090191,0.99993,0.684941,0.716546,-0.013743,0.965291,0.742164,0.706043,0.131769,0.303685,0.798179,0.848614,0.052183,0.982124,0.876364,0.800517,0.138522,0.637168,0.821117,0.851361,0.058922,0.989042,0.901351,0.804988,0.139018,0.752472,0.792628,0.951243,0.033716,0.985234,0.882075,0.902849,0.09255,0.789359
1,0.033333,0.511102,0.646867,0.089966,0.999861,0.496104,0.627047,0.067264,0.9998,0.49535,0.622151,0.067025,0.999737,0.494777,0.617654,0.067114,0.999793,0.49774,0.628835,0.103963,0.999925,0.498087,0.625524,0.103549,0.999944,0.498359,0.622592,0.103473,0.999971,0.498559,0.585597,0.00346,0.999785,0.502006,0.592632,0.169563,0.999948,0.522312,0.631821,0.070785,0.999651,0.525017,0.634864,0.117164,0.999787,0.541674,0.559085,-0.086166,0.999856,0.589036,0.54996,0.251885,0.999849,0.541231,0.750799,-0.14389,0.918561,0.620704,0.703332,0.290004,0.180362,0.552082,0.902863,-0.096265,0.812838,0.621781,0.882585,0.220386,0.582631,0.54977,0.920138,-0.125427,0.824663,0.601156,0.899717,0.216966,0.624031,0.549906,0.913827,-0.108222,0.806445,0.594691,0.901548,0.18308,0.640206,0.553501,0.909592,-0.088194,0.755328,0.604357,0.898053,0.201781,0.60821,0.717312,0.451425,-0.091825,0.999883,0.741257,0.450966,0.091382,0.999927,0.685401,0.715566,-0.061675,0.956864,0.742499,0.704184,0.120393,0.286329,0.796929,0.847301,-0.00992,0.976721,0.875268,0.801177,0.115811,0.606092,0.821249,0.850183,-0.005033,0.986644,0.901407,0.804707,0.11506,0.728212,0.792666,0.950814,-0.038947,0.981059,0.881646,0.902689,0.066466,0.761518
2,0.066667,0.509913,0.645776,0.081345,0.999833,0.495354,0.625626,0.05743,0.999751,0.494815,0.621105,0.057191,0.999673,0.494425,0.616959,0.057279,0.999744,0.496615,0.627161,0.093959,0.999907,0.496982,0.623943,0.093544,0.999932,0.497326,0.621181,0.093468,0.999965,0.498463,0.58544,-0.008257,0.999744,0.501447,0.592016,0.156839,0.999939,0.521599,0.6317,0.061815,0.999604,0.524,0.6348,0.107897,0.999759,0.541515,0.555792,-0.092199,0.999847,0.588998,0.549716,0.242335,0.999845,0.541089,0.748752,-0.140586,0.915797,0.620868,0.705298,0.278549,0.176362,0.551857,0.90277,-0.086425,0.806725,0.621614,0.883272,0.203465,0.574995,0.548726,0.92023,-0.11496,0.818404,0.601186,0.899491,0.198521,0.616946,0.548098,0.913809,-0.097431,0.799762,0.594761,0.901519,0.163807,0.63353,0.552394,0.909629,-0.078112,0.747157,0.603832,0.898525,0.184507,0.600446,0.717321,0.451415,-0.09192,0.999872,0.741359,0.450803,0.091485,0.999921,0.685833,0.715706,-0.047192,0.949975,0.741573,0.703694,0.117686,0.269837,0.795955,0.845657,-0.007012,0.973087,0.874502,0.801519,0.120204,0.57821,0.820903,0.848665,-0.003299,0.985135,0.902161,0.804792,0.119589,0.706835,0.791406,0.949956,-0.029998,0.978312,0.88065,0.90275,0.072077,0.739108
3,0.1,0.506148,0.645807,0.068471,0.999709,0.491896,0.62562,0.042056,0.999516,0.491699,0.621091,0.041814,0.999359,0.491682,0.616955,0.0419,0.999504,0.492753,0.627158,0.078311,0.999824,0.493305,0.62387,0.077882,0.999878,0.493935,0.620919,0.077805,0.99994,0.497438,0.585445,-0.028675,0.999509,0.499936,0.591082,0.134568,0.999897,0.518377,0.631828,0.0483,0.999358,0.520094,0.634894,0.093899,0.999633,0.545273,0.557301,-0.102932,0.999801,0.585486,0.549652,0.225023,0.999822,0.541094,0.747512,-0.139574,0.901045,0.618641,0.70538,0.263992,0.170306,0.544266,0.90123,-0.083337,0.790177,0.617311,0.882468,0.185613,0.566159,0.539794,0.920292,-0.113402,0.804343,0.598815,0.89732,0.179912,0.608429,0.538476,0.914321,-0.095131,0.785381,0.59257,0.899903,0.143486,0.626131,0.544022,0.910068,-0.075035,0.731001,0.599151,0.897591,0.166186,0.590562,0.724938,0.45247,-0.092302,0.999827,0.742608,0.451468,0.09188,0.999894,0.685923,0.712665,-0.037031,0.919078,0.741913,0.70508,0.14114,0.244926,0.797791,0.843853,0.087201,0.956171,0.863526,0.818798,0.225398,0.527938,0.825279,0.848501,0.098707,0.978049,0.886283,0.832129,0.233776,0.65312,0.791769,0.945256,0.065081,0.964675,0.84511,0.910044,0.187655,0.682593
4,0.133333,0.504247,0.647135,0.063583,0.999636,0.490347,0.62605,0.036712,0.999382,0.49052,0.621257,0.036471,0.999179,0.490779,0.61701,0.036555,0.999373,0.490784,0.627378,0.072953,0.999776,0.491475,0.623855,0.072525,0.999846,0.492213,0.620486,0.072453,0.999925,0.497273,0.585447,-0.036044,0.9994,0.499305,0.589652,0.126803,0.999874,0.517241,0.632728,0.042479,0.999253,0.518609,0.63529,0.087946,0.999579,0.551279,0.560138,-0.108677,0.999769,0.584207,0.55002,0.214728,0.999794,0.545159,0.747191,-0.136731,0.892718,0.613655,0.709899,0.24567,0.161647,0.53574,0.891154,-0.07271,0.779954,0.611532,0.882411,0.162679,0.537708,0.522436,0.907574,-0.102909,0.79586,0.595896,0.897316,0.156679,0.581992,0.520008,0.901557,-0.087124,0.777012,0.590257,0.899919,0.121122,0.600907,0.530079,0.897889,-0.065666,0.722307,0.595682,0.897625,0.143445,0.565191,0.727826,0.452933,-0.092298,0.999779,0.743178,0.451542,0.091875,0.999862,0.686431,0.710386,-0.028536,0.902716,0.735535,0.705454,0.139557,0.222725,0.799575,0.845081,0.098851,0.947998,0.844262,0.834704,0.217469,0.483184,0.829593,0.853386,0.10988,0.974887,0.867606,0.853027,0.225505,0.605162,0.78472,0.94458,0.069829,0.958256,0.840674,0.922492,0.175981,0.633198
5,0.166667,0.502299,0.64717,0.040075,0.999402,0.489633,0.626267,0.014294,0.998987,0.489992,0.621753,0.014066,0.998686,0.490352,0.617869,0.014107,0.999079,0.489554,0.627401,0.046237,0.999572,0.490134,0.623871,0.045813,0.99968,0.490653,0.620498,0.045712,0.999842,0.497271,0.586656,-0.053759,0.999112,0.498727,0.589635,0.089213,0.999709,0.515782,0.633061,0.021197,0.998848,0.516483,0.635288,0.060854,0.999279,0.558707,0.564535,-0.128061,0.999725,0.576744,0.549584,0.179071,0.999614,0.570836,0.741726,-0.154952,0.882876,0.58914,0.709655,0.192521,0.148115,0.55074,0.879404,-0.097458,0.776141,0.54087,0.859108,0.10845,0.490225,0.527336,0.895576,-0.127486,0.791687,0.524414,0.869572,0.0994,0.532512,0.524937,0.887247,-0.114189,0.773166,0.522597,0.87446,0.074009,0.550126,0.531621,0.886829,-0.091293,0.71786,0.529706,0.873693,0.092922,0.516994,0.734466,0.452326,-0.092051,0.999702,0.743393,0.450704,0.091671,0.999784,0.689454,0.706352,-0.032313,0.852455,0.72985,0.703337,0.109037,0.200867,0.80171,0.848084,0.094306,0.909131,0.825445,0.84645,0.199121,0.436085,0.833037,0.860256,0.105552,0.956884,0.85084,0.866904,0.207647,0.548396,0.782125,0.943034,0.068354,0.924179,0.798213,0.92794,0.166922,0.573103
6,0.2,0.499852,0.650801,0.033425,0.999403,0.488141,0.629918,0.008101,0.998985,0.488651,0.625161,0.007892,0.998685,0.489121,0.621173,0.007932,0.99908,0.488003,0.630205,0.041737,0.999571,0.488607,0.62572,0.041314,0.999678,0.48923,0.621533,0.041214,0.99984,0.497194,0.587707,-0.060882,0.999119,0.498049,0.589642,0.09032,0.999708,0.51479,0.635474,0.013477,0.998869,0.515319,0.636922,0.055386,0.999289,0.563201,0.564495,-0.13746,0.999713,0.5774,0.54925,0.181388,0.999592,0.576733,0.733902,-0.180384,0.881852,0.592131,0.709581,0.199393,0.139003,0.534521,0.861091,-0.13946,0.78672,0.56837,0.861658,0.113134,0.45867,0.506485,0.875071,-0.171597,0.800555,0.545387,0.873357,0.106075,0.499869,0.503209,0.866512,-0.157768,0.782663,0.542787,0.877769,0.077945,0.516647,0.511712,0.866628,-0.133712,0.728762,0.544859,0.875952,0.09652,0.484748,0.739299,0.448853,-0.092311,0.999679,0.7434,0.448201,0.09198,0.999762,0.690916,0.70147,-0.05692,0.830789,0.712271,0.697677,0.099215,0.181707,0.800698,0.852845,0.085952,0.889969,0.80773,0.850882,0.190324,0.394696,0.832163,0.868007,0.097797,0.947812,0.833332,0.867993,0.198682,0.499192,0.77731,0.943143,0.062995,0.907436,0.786392,0.927888,0.160203,0.520911
7,0.233333,0.499026,0.651828,0.014301,0.999418,0.488007,0.630942,-0.010411,0.999002,0.48859,0.626205,-0.010611,0.998706,0.489093,0.622239,-0.010584,0.9991,0.487761,0.630712,0.024974,0.99958,0.488438,0.625998,0.024554,0.999682,0.489113,0.621645,0.024452,0.999842,0.498018,0.587922,-0.079344,0.999143,0.49839,0.58964,0.079968,0.999712,0.514436,0.636762,-0.00603,0.998923,0.51502,0.637552,0.038232,0.999322,0.568606,0.562907,-0.153527,0.999716,0.575977,0.550028,0.176307,0.999595,0.583709,0.728945,-0.21362,0.888646,0.586395,0.712709,0.202739,0.131179,0.508201,0.852444,-0.195132,0.804909,0.578829,0.867896,0.118005,0.435167,0.48594,0.866077,-0.23309,0.81638,0.549237,0.883456,0.11364,0.475075,0.483499,0.857553,-0.218404,0.799651,0.544212,0.888646,0.080072,0.490888,0.491759,0.856114,-0.1902,0.74897,0.552053,0.885941,0.099438,0.459977,0.745508,0.443522,-0.093717,0.999673,0.741369,0.443676,0.093468,0.999753,0.69102,0.686362,-0.094,0.83214,0.69657,0.687307,0.088439,0.164942,0.793664,0.86368,0.060076,0.88256,0.785874,0.862157,0.185524,0.358,0.820932,0.888005,0.074789,0.942922,0.8112,0.88725,0.193782,0.454994,0.756872,0.943425,0.034103,0.89965,0.746847,0.931364,0.155406,0.474828
8,0.266667,0.499272,0.650271,-0.019751,0.999329,0.489519,0.629737,-0.044875,0.998884,0.490276,0.625474,-0.045105,0.998586,0.490864,0.621858,-0.045075,0.999023,0.488856,0.62943,-0.008825,0.999503,0.48951,0.625099,-0.009255,0.999624,0.490018,0.621011,-0.009373,0.999802,0.500332,0.587851,-0.119259,0.999089,0.500224,0.589418,0.044069,0.999654,0.514491,0.636565,-0.041376,0.998775,0.515293,0.637038,0.004024,0.999212,0.575372,0.562356,-0.190333,0.999656,0.569965,0.551949,0.132855,0.999452,0.583549,0.728703,-0.254848,0.894463,0.573551,0.713758,0.150129,0.12302,0.51136,0.859115,-0.234797,0.819401,0.515615,0.846014,0.065587,0.414757,0.500804,0.874849,-0.275656,0.829132,0.490415,0.859331,0.055164,0.459125,0.48952,0.865494,-0.263766,0.813442,0.489271,0.863038,0.030658,0.474249,0.500774,0.863309,-0.23109,0.764606,0.498146,0.860967,0.05052,0.444455,0.748653,0.439082,-0.095086,0.99963,0.733261,0.439752,0.094885,0.999697,0.690908,0.673969,-0.103213,0.840761,0.671267,0.66363,0.09775,0.150374,0.788043,0.866615,0.009941,0.887675,0.757975,0.855742,0.204424,0.328633,0.812867,0.894422,0.018587,0.94423,0.789082,0.86312,0.213435,0.421172,0.752114,0.943294,-0.037605,0.902924,0.728841,0.927684,0.180946,0.439986
9,0.3,0.499579,0.650218,-0.007462,0.999355,0.489587,0.629386,-0.032051,0.998928,0.490298,0.62514,-0.032273,0.998648,0.490978,0.621584,-0.032236,0.999063,0.489003,0.629087,0.004369,0.999524,0.489661,0.624712,0.003936,0.99964,0.490171,0.620659,0.003842,0.999809,0.500673,0.587603,-0.103153,0.999133,0.500498,0.589083,0.061634,0.99967,0.514601,0.636494,-0.028433,0.998841,0.51538,0.637012,0.017444,0.999254,0.574713,0.560318,-0.172966,0.999663,0.569256,0.552253,0.152116,0.999469,0.580423,0.72822,-0.240164,0.902016,0.577068,0.715209,0.17941,0.119471,0.499076,0.855378,-0.23995,0.836228,0.524134,0.862597,0.098081,0.41376,0.476879,0.871398,-0.283141,0.84464,0.520904,0.876653,0.092835,0.458328,0.472014,0.861972,-0.269331,0.830272,0.517455,0.881885,0.058098,0.473322,0.481543,0.859058,-0.236436,0.785338,0.519565,0.879014,0.079252,0.444308,0.749266,0.437336,-0.095552,0.999628,0.731338,0.440045,0.095355,0.999689,0.69072,0.67143,-0.107602,0.852189,0.675199,0.665546,0.102567,0.13842,0.785325,0.869661,0.014783,0.893164,0.760603,0.850989,0.20396,0.302056,0.809419,0.89652,0.025587,0.94629,0.786184,0.869169,0.213702,0.391217,0.746674,0.943323,-0.014889,0.907091,0.731627,0.927989,0.188221,0.409721
