frame,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,0.457156,0.147248,-0.121141,0.9999,0.444974,0.129702,-0.102782,0.999841,0.442192,0.129274,-0.103486,0.999851,0.438709,0.128862,-0.103355,0.999906,0.442231,0.12887,-0.166969,0.999879,0.437847,0.127859,-0.167677,0.999921,0.430948,0.126788,-0.167888,0.999926,0.404063,0.134124,0.020898,0.999913,0.392649,0.133421,-0.271586,0.999787,0.446264,0.162814,-0.059724,0.999733,0.442532,0.162722,-0.149333,0.999647,0.399403,0.238184,0.213703,0.999964,0.392212,0.219319,-0.394704,0.999963,0.573316,0.26936,0.286905,0.253917,0.588744,0.239332,-0.536587,0.990687,0.731187,0.275783,0.172317,0.417507,0.75648,0.256944,-0.541987,0.9738,0.767638,0.274399,0.175284,0.410197,0.795156,0.263449,-0.629339,0.966219,0.774302,0.267514,0.101791,0.432131,0.799741,0.256196,-0.592424,0.964474,0.765781,0.269965,0.140494,0.402903,0.788068,0.256684,-0.534377,0.92808,0.466623,0.452988,0.187773,0.99997,0.443762,0.457353,-0.187962,0.999983,0.473634,0.624698,0.431497,0.11832,0.457476,0.645051,-0.232114,0.960781,0.43278,0.767024,0.723219,0.431187,0.418431,0.837864,-0.213785,0.989724,0.407625,0.792309,0.741914,0.69282,0.383518,0.864738,-0.219051,0.960149,0.53342,0.792423,0.625046,0.741649,0.539217,0.877735,-0.432928,0.98623
1,0.032928,0.457059,0.147992,-0.182788,0.999906,0.444987,0.131266,-0.166806,0.999851,0.442124,0.130888,-0.167521,0.99986,0.43862,0.130507,-0.167423,0.999912,0.441928,0.130779,-0.225802,0.999887,0.436592,0.130073,-0.226492,0.999926,0.429826,0.129234,-0.226701,0.99993,0.404182,0.13542,-0.044448,0.999919,0.391856,0.134589,-0.315414,0.999801,0.4458,0.16494,-0.121868,0.99975,0.441739,0.164448,-0.204949,0.999669,0.399525,0.239647,0.154535,0.999965,0.392501,0.220096,-0.426549,0.999965,0.572899,0.272629,0.241037,0.259851,0.588357,0.240176,-0.588956,0.990918,0.731069,0.276794,0.155012,0.42843,0.756853,0.257795,-0.636925,0.97516,0.767059,0.275278,0.157976,0.421939,0.796172,0.263621,-0.729145,0.968019,0.77437,0.269877,0.085482,0.443956,0.799881,0.257257,-0.696586,0.966408,0.76569,0.272243,0.124366,0.414585,0.788134,0.258046,-0.631764,0.93171,0.466528,0.452967,0.187026,0.99997,0.443406,0.457383,-0.187238,0.999983,0.474235,0.625741,0.4523,0.123277,0.458831,0.645214,-0.244747,0.962855,0.433925,0.76776,0.750589,0.444552,0.418348,0.837837,-0.258331,0.99021,0.409126,0.792308,0.771366,0.703107,0.383302,0.866149,-0.265601,0.961438,0.534307,0.792396,0.675394,0.750363,0.539448,0.877732,-0.469382,0.986911
2,0.065856,0.456183,0.148375,-0.187422,0.999911,0.443803,0.131788,-0.1696,0.99986,0.440543,0.131482,-0.170321,0.999868,0.43725,0.131284,-0.170205,0.999917,0.439249,0.131247,-0.227761,0.999893,0.432905,0.130767,-0.228473,0.99993,0.426255,0.130356,-0.228706,0.999934,0.403888,0.136761,-0.042989,0.999923,0.389485,0.135842,-0.311461,0.999813,0.444954,0.166202,-0.125566,0.999762,0.440295,0.16558,-0.207585,0.999687,0.399424,0.240696,0.157264,0.999965,0.392609,0.221153,-0.42564,0.999966,0.5724,0.274674,0.242574,0.260757,0.587642,0.240923,-0.58701,0.991283,0.730379,0.277219,0.153656,0.432489,0.756868,0.258087,-0.632883,0.976711,0.766117,0.275756,0.156742,0.426607,0.796964,0.263636,-0.725588,0.969945,0.774261,0.271142,0.083618,0.448862,0.800022,0.257493,-0.692315,0.968459,0.765235,0.273075,0.122795,0.419738,0.788147,0.258256,-0.627407,0.935632,0.466489,0.452723,0.18681,0.999971,0.443488,0.457329,-0.187035,0.999983,0.474115,0.628063,0.460173,0.125865,0.462888,0.64522,-0.250422,0.964251,0.434717,0.768425,0.756471,0.451438,0.418969,0.835598,-0.254113,0.99047,0.410005,0.792303,0.777042,0.70852,0.383637,0.866185,-0.260107,0.961838,0.5344,0.79279,0.679173,0.755194,0.540009,0.877739,-0.464498,0.987298
3,0.098784,0.455244,0.14842,-0.215572,0.999916,0.442865,0.13189,-0.199367,0.999869,0.439607,0.131576,-0.200103,0.999877,0.436521,0.131399,-0.199988,0.999922,0.437521,0.131374,-0.254979,0.999901,0.430183,0.130974,-0.255695,0.999935,0.423411,0.130799,-0.255927,0.999939,0.403729,0.137273,-0.075351,0.999928,0.386639,0.136744,-0.330682,0.999826,0.444574,0.166584,-0.154379,0.999777,0.439212,0.166058,-0.232959,0.999706,0.400125,0.240712,0.117749,0.999967,0.392635,0.223294,-0.430181,0.999967,0.573399,0.274776,0.188522,0.268119,0.587575,0.244056,-0.588355,0.991595,0.731891,0.277461,0.096039,0.442932,0.756725,0.258182,-0.63552,0.978049,0.766629,0.276005,0.096779,0.437519,0.796323,0.263594,-0.726884,0.971676,0.775503,0.271405,0.024783,0.459815,0.799172,0.257497,-0.693748,0.970293,0.76608,0.273161,0.065839,0.430718,0.787623,0.258252,-0.630468,0.939199,0.466506,0.452705,0.181794,0.999972,0.443636,0.457499,-0.182035,0.999984,0.474141,0.62877,0.45708,0.135415,0.464247,0.64533,-0.245676,0.966438,0.435018,0.76911,0.753549,0.469621,0.418987,0.835414,-0.252869,0.99104,0.409911,0.792815,0.77401,0.720201,0.383824,0.867225,-0.259695,0.963658,0.534317,0.793023,0.669926,0.766274,0.538895,0.877793,-0.462172,0.98806
4,0.131712,0.454606,0.148453,-0.202794,0.99992,0.44226,0.131932,-0.185181,0.999877,0.439007,0.131619,-0.185914,0.999883,0.436027,0.131469,-0.185804,0.999926,0.436463,0.131412,-0.241924,0.999906,0.4286,0.13105,-0.242639,0.999938,0.421775,0.130996,-0.242874,0.999942,0.403618,0.137629,-0.059002,0.999932,0.385197,0.137268,-0.321294,0.999836,0.444256,0.166764,-0.14104,0.999788,0.43843,0.166346,-0.221061,0.99972,0.401278,0.240725,0.134488,0.999967,0.392553,0.224104,-0.426962,0.999968,0.574227,0.274744,0.207192,0.271281,0.587143,0.245069,-0.583048,0.991819,0.733451,0.277728,0.111579,0.447981,0.756353,0.25815,-0.627389,0.979015,0.767983,0.276357,0.113007,0.442667,0.795859,0.263401,-0.718061,0.972888,0.777368,0.271752,0.040904,0.464933,0.79862,0.257447,-0.685414,0.971582,0.7666,0.27337,0.081094,0.435966,0.787183,0.258139,-0.622378,0.941689,0.466538,0.452539,0.180824,0.999972,0.443739,0.45742,-0.181073,0.999984,0.473349,0.629744,0.457358,0.14108,0.465032,0.64538,-0.24953,0.968186,0.43567,0.770343,0.750283,0.481834,0.418992,0.835336,-0.278867,0.991464,0.410063,0.793355,0.770406,0.729118,0.383746,0.868042,-0.287854,0.964924,0.534341,0.793803,0.66686,0.773672,0.539562,0.877841,-0.494801,0.988629
5,0.16464,0.453709,0.148714,-0.220386,0.999924,0.441652,0.132146,-0.202756,0.999883,0.438324,0.131836,-0.2035,0.999888,0.435441,0.131702,-0.203387,0.999929,0.435225,0.131522,-0.258702,0.999911,0.427067,0.131127,-0.259431,0.999942,0.42011,0.131047,-0.25969,0.999944,0.402955,0.137648,-0.07262,0.999936,0.383106,0.137259,-0.330457,0.999845,0.443193,0.166915,-0.157007,0.999796,0.43696,0.166589,-0.236184,0.999731,0.40115,0.240486,0.126189,0.999968,0.392167,0.224318,-0.432329,0.999969,0.573986,0.274649,0.200097,0.27449,0.586522,0.245128,-0.593126,0.992097,0.733434,0.27743,0.108899,0.454259,0.756567,0.258165,-0.647258,0.980248,0.767913,0.275978,0.111012,0.449449,0.796099,0.263218,-0.741199,0.974464,0.777365,0.27161,0.03816,0.471837,0.798689,0.257442,-0.705685,0.973261,0.766585,0.273171,0.078354,0.443138,0.787309,0.258118,-0.641525,0.944991,0.466598,0.451749,0.180762,0.999972,0.444115,0.45704,-0.181014,0.999985,0.473349,0.629688,0.461024,0.143254,0.466647,0.645021,-0.250024,0.969578,0.435798,0.770335,0.752291,0.487915,0.419106,0.834644,-0.275112,0.991808,0.410101,0.793277,0.772757,0.735483,0.383744,0.868031,-0.282894,0.966097,0.534034,0.793929,0.676836,0.778452,0.539842,0.877797,-0.487054,0.989094
6,0.197568,0.453251,0.148701,-0.228115,0.999927,0.44101,0.132129,-0.210949,0.999889,0.437841,0.131818,-0.211694,0.999894,0.435109,0.131694,-0.211575,0.999933,0.434247,0.131467,-0.265277,0.999915,0.42564,0.131081,-0.266009,0.999944,0.418455,0.131031,-0.266262,0.999947,0.402698,0.13778,-0.080616,0.999939,0.381527,0.137333,-0.33127,0.999852,0.442899,0.166897,-0.164406,0.999802,0.436464,0.166595,-0.241491,0.999739,0.399666,0.240503,0.117044,0.999968,0.392179,0.224471,-0.429755,0.99997,0.574036,0.274888,0.182412,0.275713,0.586538,0.245797,-0.58837,0.992136,0.734083,0.277454,0.089696,0.457774,0.756543,0.258176,-0.635869,0.980882,0.768162,0.27592,0.091633,0.453979,0.796022,0.262615,-0.727143,0.975355,0.777918,0.271306,0.021201,0.476368,0.798607,0.25728,-0.691982,0.974229,0.767088,0.273026,0.060259,0.447886,0.787293,0.258013,-0.630025,0.946922,0.466423,0.451686,0.178992,0.999972,0.445258,0.457031,-0.179269,0.999985,0.473498,0.629575,0.460453,0.149069,0.468551,0.644484,-0.249419,0.971196,0.436332,0.769927,0.751966,0.500058,0.418913,0.834548,-0.284229,0.992246,0.409472,0.792461,0.772561,0.744715,0.382227,0.868432,-0.292926,0.967603,0.534541,0.792535,0.675394,0.785944,0.539547,0.877785,-0.490731,0.989667
7,0.230496,0.452419,0.148648,-0.216169,0.999929,0.44029,0.132127,-0.198407,0.999894,0.437284,0.131834,-0.199147,0.999898,0.434644,0.13176,-0.199032,0.999935,0.433821,0.131443,-0.254654,0.999919,0.425252,0.131064,-0.255379,0.999946,0.417858,0.131012,-0.255625,0.999949,0.402288,0.137852,-0.069288,0.999941,0.381227,0.137365,-0.327008,0.999858,0.442531,0.166886,-0.153088,0.999808,0.436125,0.166588,-0.232543,0.999747,0.399483,0.240547,0.127001,0.999968,0.391602,0.224445,-0.428789,0.99997,0.573191,0.27535,0.196515,0.273669,0.584383,0.245757,-0.592385,0.992192,0.733424,0.277185,0.10014,0.454975,0.753826,0.257911,-0.639906,0.981264,0.767365,0.27568,0.102323,0.452405,0.793104,0.262257,-0.728559,0.975854,0.777291,0.271224,0.029282,0.474845,0.796323,0.257217,-0.69661,0.97478,0.766081,0.272874,0.069656,0.446841,0.785152,0.257883,-0.634894,0.94795,0.466986,0.451717,0.179089,0.999972,0.446007,0.457229,-0.179364,0.999985,0.474602,0.629549,0.46866,0.154253,0.470451,0.644274,-0.252599,0.972475,0.43668,0.769762,0.75801,0.508399,0.418916,0.834511,-0.296298,0.992556,0.40905,0.791858,0.778326,0.751142,0.38218,0.868615,-0.306076,0.96834,0.534569,0.792327,0.68913,0.790804,0.539491,0.877812,-0.50815,0.99008
8,0.263424,0.451088,0.148634,-0.229172,0.999931,0.439309,0.132124,-0.209364,0.999898,0.436655,0.131834,-0.210119,0.999902,0.434315,0.131769,-0.210011,0.999938,0.43249,0.131438,-0.263811,0.999922,0.423791,0.131066,-0.264535,0.999948,0.416196,0.131056,-0.264789,0.999951,0.402112,0.138133,-0.074045,0.999944,0.379744,0.137857,-0.326195,0.999864,0.442184,0.166915,-0.164421,0.999813,0.435454,0.166642,-0.241489,0.999754,0.400673,0.24044,0.121518,0.999967,0.391286,0.225091,-0.427702,0.99997,0.573305,0.274584,0.193578,0.273444,0.583439,0.245716,-0.591051,0.992115,0.733382,0.276585,0.1001,0.4544,0.750935,0.257526,-0.637388,0.981289,0.767313,0.275417,0.101418,0.452574,0.790705,0.262088,-0.725285,0.975904,0.776988,0.270918,0.031541,0.475209,0.794185,0.257005,-0.694586,0.97488,0.765709,0.272476,0.07073,0.447531,0.782766,0.257575,-0.632831,0.948174,0.467805,0.451398,0.177926,0.999972,0.446392,0.457219,-0.178219,0.999985,0.474987,0.62912,0.468832,0.157902,0.471262,0.643725,-0.254043,0.973428,0.437253,0.769729,0.756394,0.51386,0.419077,0.834819,-0.303078,0.992784,0.408852,0.791855,0.776493,0.754862,0.382134,0.868725,-0.313384,0.968711,0.535367,0.792075,0.687445,0.793885,0.539514,0.877819,-0.516281,0.990397
9,0.296352,0.451039,0.148793,-0.224326,0.999934,0.43913,0.132328,-0.205313,0.999904,0.436465,0.132045,-0.20606,0.999907,0.434123,0.132021,-0.205942,0.999941,0.432261,0.13156,-0.260314,0.999926,0.423515,0.131192,-0.261038,0.999951,0.416017,0.131208,-0.261281,0.999953,0.401807,0.138645,-0.071853,0.999947,0.379382,0.138257,-0.325135,0.999871,0.442064,0.167199,-0.160018,0.99982,0.43529,0.166978,-0.237876,0.999762,0.398701,0.241783,0.126422,0.999967,0.391574,0.225425,-0.427059,0.99997,0.572732,0.276197,0.198706,0.269899,0.5842,0.24581,-0.589269,0.992156,0.732961,0.277488,0.103704,0.451998,0.751851,0.257704,-0.633404,0.981735,0.766701,0.275585,0.105124,0.451423,0.791294,0.262039,-0.72168,0.976489,0.776345,0.270971,0.03517,0.474018,0.794466,0.257,-0.690179,0.975514,0.76558,0.272666,0.074193,0.446385,0.783392,0.257572,-0.628525,0.949339,0.467532,0.451602,0.177999,0.999972,0.447339,0.457261,-0.178302,0.999985,0.475161,0.629081,0.467842,0.159399,0.471235,0.643727,-0.250892,0.974141,0.437309,0.770259,0.755711,0.518364,0.419185,0.834824,-0.300311,0.99298,0.408291,0.793537,0.775943,0.759731,0.382206,0.86894,-0.30971,0.969338,0.535869,0.792212,0.684124,0.797037,0.539938,0.877777,-0.512437,0.990664
