frame,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,0.5,0.22,0.03,0.98,0.482,0.195,0.03,0.98,0.468,0.192,0.03,0.98,0.454,0.195,0.03,0.98,0.518,0.195,0.03,0.98,0.532,0.192,0.03,0.98,0.546,0.195,0.03,0.98,0.435,0.215,0.025,0.98,0.565,0.215,0.025,0.98,0.475,0.255,0.03,0.98,0.525,0.255,0.03,0.98,0.39,0.36,0.02,0.98,0.61,0.36,0.02,0.98,0.31,0.48,0.06,0.98,0.69,0.48,0.06,0.98,0.28,0.59,0.12,0.98,0.72,0.59,0.12,0.98,0.255,0.605,0.125,0.98,0.745,0.605,0.125,0.98,0.285,0.61,0.14,0.98,0.715,0.61,0.14,0.98,0.3,0.595,0.13,0.98,0.7,0.595,0.13,0.98,0.42,0.62,0.0,0.98,0.58,0.62,0.0,0.98,0.42,0.78,0.01,0.98,0.58,0.78,0.01,0.98,0.42,0.94,0.02,0.98,0.58,0.94,0.02,0.98,0.4,0.97,0.0,0.98,0.6,0.97,0.0,0.98,0.42,0.98,0.09,0.98,0.58,0.98,0.09,0.98
1,0.033333,0.50029,0.220209,0.030503,0.98,0.48229,0.195209,0.030503,0.98,0.46829,0.192209,0.030503,0.98,0.45429,0.195209,0.030503,0.98,0.51829,0.195209,0.030503,0.98,0.53229,0.192209,0.030503,0.98,0.54629,0.195209,0.030503,0.98,0.43529,0.215209,0.025503,0.98,0.56529,0.215209,0.025503,0.98,0.47529,0.255209,0.030503,0.98,0.52529,0.255209,0.030503,0.98,0.39029,0.360167,0.020406,0.98,0.61029,0.360167,0.020406,0.98,0.31029,0.480125,0.060336,0.98,0.69029,0.480125,0.060336,0.98,0.28029,0.590098,0.120336,0.98,0.72029,0.590098,0.120336,0.98,0.25529,0.605098,0.125336,0.98,0.74529,0.605098,0.125336,0.98,0.28529,0.610098,0.140336,0.98,0.71529,0.610098,0.140336,0.98,0.30029,0.595098,0.130336,0.98,0.70029,0.595098,0.130336,0.98,0.42029,0.62,0.000169,0.98,0.58029,0.62,0.000169,0.98,0.42029,0.78,0.010169,0.98,0.58029,0.78,0.010169,0.98,0.42029,0.94,0.020169,0.98,0.58029,0.94,0.020169,0.98,0.40029,0.97,0.000169,0.98,0.60029,0.97,0.000169,0.98,0.42029,0.98,0.090169,0.98,0.58029,0.98,0.090169,0.98
2,0.066667,0.500579,0.220836,0.031674,0.98,0.482579,0.195836,0.031674,0.98,0.468579,0.192836,0.031674,0.98,0.454579,0.195836,0.031674,0.98,0.518579,0.195836,0.031674,0.98,0.532579,0.192836,0.031674,0.98,0.546579,0.195836,0.031674,0.98,0.435579,0.215836,0.026674,0.98,0.565579,0.215836,0.026674,0.98,0.475579,0.255836,0.031674,0.98,0.525579,0.255836,0.031674,0.98,0.390579,0.360668,0.021284,0.98,0.610579,0.360668,0.021284,0.98,0.310579,0.480501,0.061006,0.98,0.690579,0.480501,0.061006,0.98,0.280579,0.59039,0.121006,0.98,0.720579,0.59039,0.121006,0.98,0.255579,0.60539,0.126006,0.98,0.745579,0.60539,0.126006,0.98,0.285579,0.61039,0.141006,0.98,0.715579,0.61039,0.141006,0.98,0.300579,0.59539,0.131006,0.98,0.700579,0.59539,0.131006,0.98,0.420579,0.62,0.000338,0.98,0.580579,0.62,0.000338,0.98,0.420579,0.78,0.010338,0.98,0.580579,0.78,0.010338,0.98,0.420579,0.94,0.020338,0.98,0.580579,0.94,0.020338,0.98,0.400579,0.97,0.000338,0.98,0.600579,0.97,0.000338,0.98,0.420579,0.98,0.090338,0.98,0.580579,0.98,0.090338,0.98
3,0.1,0.500867,0.221878,0.03351,0.98,0.482867,0.196878,0.03351,0.98,0.468867,0.193878,0.03351,0.98,0.454867,0.196878,0.03351,0.98,0.518867,0.196878,0.03351,0.98,0.532867,0.193878,0.03351,0.98,0.546867,0.196878,0.03351,0.98,0.435867,0.216878,0.02851,0.98,0.565867,0.216878,0.02851,0.98,0.475867,0.256878,0.03351,0.98,0.525867,0.256878,0.03351,0.98,0.390867,0.361502,0.022634,0.98,0.610867,0.361502,0.022634,0.98,0.310867,0.481127,0.062008,0.98,0.690867,0.481127,0.062008,0.98,0.280867,0.590876,0.122008,0.98,0.720867,0.590876,0.122008,0.98,0.255867,0.605876,0.127008,0.98,0.745867,0.605876,0.127008,0.98,0.285867,0.610876,0.142008,0.98,0.715867,0.610876,0.142008,0.98,0.300867,0.595876,0.132008,0.98,0.700867,0.595876,0.132008,0.98,0.420867,0.62,0.000506,0.98,0.580867,0.62,0.000506,0.98,0.420867,0.78,0.010506,0.98,0.580867,0.78,0.010506,0.98,0.420867,0.94,0.020506,0.98,0.580867,0.94,0.020506,0.98,0.400867,0.97,0.000506,0.98,0.600867,0.97,0.000506,0.98,0.420867,0.98,0.090506,0.98,0.580867,0.98,0.090506,0.98
4,0.133333,0.501151,0.223333,0.036005,0.98,0.483151,0.198333,0.036005,0.98,0.469151,0.195333,0.036005,0.98,0.455151,0.198333,0.036005,0.98,0.519151,0.198333,0.036005,0.98,0.533151,0.195333,0.036005,0.98,0.547151,0.198333,0.036005,0.98,0.436151,0.218333,0.031005,0.98,0.566151,0.218333,0.031005,0.98,0.476151,0.258333,0.036005,0.98,0.526151,0.258333,0.036005,0.98,0.391151,0.362666,0.02445,0.98,0.611151,0.362666,0.02445,0.98,0.311151,0.482,0.063339,0.98,0.691151,0.482,0.063339,0.98,0.281151,0.591555,0.123339,0.98,0.721151,0.591555,0.123339,0.98,0.256151,0.606555,0.128339,0.98,0.746151,0.606555,0.128339,0.98,0.286151,0.611555,0.143339,0.98,0.716151,0.611555,0.143339,0.98,0.301151,0.596555,0.133339,0.98,0.701151,0.596555,0.133339,0.98,0.421151,0.62,0.000673,0.98,0.581151,0.62,0.000673,0.98,0.421151,0.78,0.010673,0.98,0.581151,0.78,0.010673,0.98,0.421151,0.94,0.020673,0.98,0.581151,0.94,0.020673,0.98,0.401151,0.97,0.000673,0.98,0.601151,0.97,0.000673,0.98,0.421151,0.98,0.090673,0.98,0.581151,0.98,0.090673,0.98
5,0.166667,0.501432,0.225197,0.039154,0.98,0.483432,0.200197,0.039154,0.98,0.469432,0.197197,0.039154,0.98,0.455432,0.200197,0.039154,0.98,0.519432,0.200197,0.039154,0.98,0.533432,0.197197,0.039154,0.98,0.547432,0.200197,0.039154,0.98,0.436432,0.220197,0.034154,0.98,0.566432,0.220197,0.034154,0.98,0.476432,0.260197,0.039154,0.98,0.526432,0.260197,0.039154,0.98,0.391432,0.364158,0.026728,0.98,0.611432,0.364158,0.026728,0.98,0.311432,0.483118,0.064996,0.98,0.691432,0.483118,0.064996,0.98,0.281432,0.592425,0.124996,0.98,0.721432,0.592425,0.124996,0.98,0.256432,0.607425,0.129996,0.98,0.746432,0.607425,0.129996,0.98,0.286432,0.612425,0.144996,0.98,0.716432,0.612425,0.144996,0.98,0.301432,0.597425,0.134996,0.98,0.701432,0.597425,0.134996,0.98,0.421432,0.62,0.000839,0.98,0.581432,0.62,0.000839,0.98,0.421432,0.78,0.010839,0.98,0.581432,0.78,0.010839,0.98,0.421432,0.94,0.020839,0.98,0.581432,0.94,0.020839,0.98,0.401432,0.97,0.000839,0.98,0.601432,0.97,0.000839,0.98,0.421432,0.98,0.090839,0.98,0.581432,0.98,0.090839,0.98
6,0.2,0.501707,0.227464,0.042946,0.98,0.483707,0.202464,0.042946,0.98,0.469707,0.199464,0.042946,0.98,0.455707,0.202464,0.042946,0.98,0.519707,0.202464,0.042946,0.98,0.533707,0.199464,0.042946,0.98,0.547707,0.202464,0.042946,0.98,0.436707,0.222464,0.037946,0.98,0.566707,0.222464,0.037946,0.98,0.476707,0.262464,0.042946,0.98,0.526707,0.262464,0.042946,0.98,0.391707,0.365972,0.029463,0.98,0.611707,0.365972,0.029463,0.98,0.311707,0.484479,0.066974,0.98,0.691707,0.484479,0.066974,0.98,0.281707,0.593483,0.126974,0.98,0.721707,0.593483,0.126974,0.98,0.256707,0.608483,0.131974,0.98,0.746707,0.608483,0.131974,0.98,0.286707,0.613483,0.146974,0.98,0.716707,0.613483,0.146974,0.98,0.301707,0.598483,0.136974,0.98,0.701707,0.598483,0.136974,0.98,0.421707,0.62,0.001003,0.98,0.581707,0.62,0.001003,0.98,0.421707,0.78,0.011003,0.98,0.581707,0.78,0.011003,0.98,0.421707,0.94,0.021003,0.98,0.581707,0.94,0.021003,0.98,0.401707,0.97,0.001003,0.98,0.601707,0.97,0.001003,0.98,0.421707,0.98,0.091003,0.98,0.581707,0.98,0.091003,0.98
7,0.233333,0.501977,0.230129,0.047372,0.98,0.483977,0.205129,0.047372,0.98,0.469977,0.202129,0.047372,0.98,0.455977,0.205129,0.047372,0.98,0.519977,0.205129,0.047372,0.98,0.533977,0.202129,0.047372,0.98,0.547977,0.205129,0.047372,0.98,0.436977,0.225129,0.042372,0.98,0.566977,0.225129,0.042372,0.98,0.476977,0.265129,0.047372,0.98,0.526977,0.265129,0.047372,0.98,0.391977,0.368103,0.032645,0.98,0.611977,0.368103,0.032645,0.98,0.311977,0.486077,0.069269,0.98,0.691977,0.486077,0.069269,0.98,0.281977,0.594727,0.129269,0.98,0.721977,0.594727,0.129269,0.98,0.256977,0.609727,0.134269,0.98,0.746977,0.609727,0.134269,0.98,0.286977,0.614727,0.149269,0.98,0.716977,0.614727,0.149269,0.98,0.301977,0.599727,0.139269,0.98,0.701977,0.599727,0.139269,0.98,0.421977,0.62,0.001166,0.98,0.581977,0.62,0.001166,0.98,0.421977,0.78,0.011166,0.98,0.581977,0.78,0.011166,0.98,0.421977,0.94,0.021166,0.98,0.581977,0.94,0.021166,0.98,0.401977,0.97,0.001166,0.98,0.601977,0.97,0.001166,0.98,0.421977,0.98,0.091166,0.98,0.581977,0.98,0.091166,0.98
8,0.266667,0.502241,0.233184,0.05242,0.98,0.484241,0.208184,0.05242,0.98,0.470241,0.205184,0.05242,0.98,0.456241,0.208184,0.05242,0.98,0.520241,0.208184,0.05242,0.98,0.534241,0.205184,0.05242,0.98,0.548241,0.208184,0.05242,0.98,0.437241,0.228184,0.04742,0.98,0.567241,0.228184,0.04742,0.98,0.477241,0.268184,0.05242,0.98,0.527241,0.268184,0.05242,0.98,0.392241,0.370547,0.036268,0.98,0.612241,0.370547,0.036268,0.98,0.312241,0.48791,0.071873,0.98,0.692241,0.48791,0.071873,0.98,0.282241,0.596152,0.131873,0.98,0.722241,0.596152,0.131873,0.98,0.257241,0.611152,0.136873,0.98,0.747241,0.611152,0.136873,0.98,0.287241,0.616152,0.151873,0.98,0.717241,0.616152,0.151873,0.98,0.302241,0.601152,0.141873,0.98,0.702241,0.601152,0.141873,0.98,0.422241,0.62,0.001326,0.98,0.582241,0.62,0.001326,0.98,0.422241,0.78,0.011326,0.98,0.582241,0.78,0.011326,0.98,0.422241,0.94,0.021326,0.98,0.582241,0.94,0.021326,0.98,0.402241,0.97,0.001326,0.98,0.602241,0.97,0.001326,0.98,0.422241,0.98,0.091326,0.98,0.582241,0.98,0.091326,0.98
9,0.3,0.502496,0.23662,0.058076,0.98,0.484496,0.21162,0.058076,0.98,0.470496,0.20862,0.058076,0.98,0.456496,0.21162,0.058076,0.98,0.520496,0.21162,0.058076,0.98,0.534496,0.20862,0.058076,0.98,0.548496,0.21162,0.058076,0.98,0.437496,0.23162,0.053076,0.98,0.567496,0.23162,0.053076,0.98,0.477496,0.27162,0.058076,0.98,0.527496,0.27162,0.058076,0.98,0.392496,0.373296,0.04032,0.98,0.612496,0.373296,0.04032,0.98,0.312496,0.489972,0.07478,0.98,0.692496,0.489972,0.07478,0.98,0.282496,0.597756,0.13478,0.98,0.722496,0.597756,0.13478,0.98,0.257496,0.612756,0.13978,0.98,0.747496,0.612756,0.13978,0.98,0.287496,0.617756,0.15478,0.98,0.717496,0.617756,0.15478,0.98,0.302496,0.602756,0.14478,0.98,0.702496,0.602756,0.14478,0.98,0.422496,0.62,0.001484,0.98,0.582496,0.62,0.001484,0.98,0.422496,0.78,0.011484,0.98,0.582496,0.78,0.011484,0.98,0.422496,0.94,0.021484,0.98,0.582496,0.94,0.021484,0.98,0.402496,0.97,0.001484,0.98,0.602496,0.97,0.001484,0.98,0.422496,0.98,0.091484,0.98,0.582496,0.98,0.091484,0.98
