"segment_type","set_id","rep_id","start_frame","end_frame","use_for_analysis","exercise_id","execution_pattern","session_id","recording_id","set_index","camera_zone","camera_height_level","reference_mat_used","filming_protocol_status","performance_protocol_status","actual_rep_count","failure_point_frame","failure_rep_id","failure_reason","performance_note","rep_unit","note"
"baseline","","","0","35","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic standing/setup frames before squat reps"
"rep","1","1","36","90","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 1"
"transition","","","91","96","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic short pause between repetitions"
"rep","1","2","97","154","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 2"
"transition","","","155","160","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic short pause between repetitions"
"rep","1","3","161","217","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 3"
"transition","","","218","223","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic short pause between repetitions"
"rep","1","4","224","283","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 4"
"transition","","","284","289","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic short pause between repetitions"
"rep","1","5","290","345","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 5"
"transition","","","346","351","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic short pause between repetitions"
"rep","1","6","352","410","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 6"
"transition","","","411","416","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic short pause between repetitions"
"rep","1","7","417","474","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 7"
"transition","","","475","480","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic short pause between repetitions"
"rep","1","8","481","537","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 8"
"transition","","","538","543","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic short pause between repetitions"
"rep","1","9","544","603","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 9"
"transition","","","604","609","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic short pause between repetitions"
"rep","1","10","610","665","true","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","completed","10","","","","synthetic demo only; not participant-derived","repetition","synthetic squat rep 10"
"idle","","","666","697","false","squat","bilateral","synthetic_demo_squat_10rep_session","mediapipe_squat_demo_10rep","1","Z8","H2","false","synthetic_demo","","","","","","synthetic demo only; not participant-derived","repetition","synthetic post-set standing frames"
