"frame","timestamp","nose_x","nose_y","nose_z","nose_confidence","left_eye_inner_x","left_eye_inner_y","left_eye_inner_z","left_eye_inner_confidence","left_eye_x","left_eye_y","left_eye_z","left_eye_confidence","left_eye_outer_x","left_eye_outer_y","left_eye_outer_z","left_eye_outer_confidence","right_eye_inner_x","right_eye_inner_y","right_eye_inner_z","right_eye_inner_confidence","right_eye_x","right_eye_y","right_eye_z","right_eye_confidence","right_eye_outer_x","right_eye_outer_y","right_eye_outer_z","right_eye_outer_confidence","left_ear_x","left_ear_y","left_ear_z","left_ear_confidence","right_ear_x","right_ear_y","right_ear_z","right_ear_confidence","mouth_left_x","mouth_left_y","mouth_left_z","mouth_left_confidence","mouth_right_x","mouth_right_y","mouth_right_z","mouth_right_confidence","left_shoulder_x","left_shoulder_y","left_shoulder_z","left_shoulder_confidence","right_shoulder_x","right_shoulder_y","right_shoulder_z","right_shoulder_confidence","left_elbow_x","left_elbow_y","left_elbow_z","left_elbow_confidence","right_elbow_x","right_elbow_y","right_elbow_z","right_elbow_confidence","left_wrist_x","left_wrist_y","left_wrist_z","left_wrist_confidence","right_wrist_x","right_wrist_y","right_wrist_z","right_wrist_confidence","left_pinky_x","left_pinky_y","left_pinky_z","left_pinky_confidence","right_pinky_x","right_pinky_y","right_pinky_z","right_pinky_confidence","left_index_x","left_index_y","left_index_z","left_index_confidence","right_index_x","right_index_y","right_index_z","right_index_confidence","left_thumb_x","left_thumb_y","left_thumb_z","left_thumb_confidence","right_thumb_x","right_thumb_y","right_thumb_z","right_thumb_confidence","left_hip_x","left_hip_y","left_hip_z","left_hip_confidence","right_hip_x","right_hip_y","right_hip_z","right_hip_confidence","left_knee_x","left_knee_y","left_knee_z","left_knee_confidence","right_knee_x","right_knee_y","right_knee_z","right_knee_confidence","left_ankle_x","left_ankle_y","left_ankle_z","left_ankle_confidence","right_ankle_x","right_ankle_y","right_ankle_z","right_ankle_confidence","left_heel_x","left_heel_y","left_heel_z","left_heel_confidence","right_heel_x","right_heel_y","right_heel_z","right_heel_confidence","left_foot_index_x","left_foot_index_y","left_foot_index_z","left_foot_index_confidence","right_foot_index_x","right_foot_index_y","right_foot_index_z","right_foot_index_confidence"
"0","0.0000","0.50156","0.18044","0.01149","0.9589","0.48843","0.16883","0.00662","0.9541","0.48021","0.16569","0.00624","0.9566","0.47400","0.16995","0.00889","0.9380","0.51105","0.16795","0.01318","0.9575","0.51787","0.16671","0.01234","0.9032","0.52430","0.17019","0.01382","0.8907","0.46945","0.17896","0.01403","0.9501","0.52813","0.18387","0.02310","0.9045","0.49026","0.20362","0.00735","0.9950","0.51122","0.20514","0.01315","0.9741","0.43000","0.30257","0.00741","0.9114","0.57163","0.29971","0.01324","0.9805","0.41801","0.43211","-0.02272","0.9732","0.57923","0.43100","-0.01557","0.9183","0.42965","0.53804","-0.04184","0.9456","0.57162","0.53993","-0.03554","0.9401","0.42227","0.55703","-0.05112","0.9612","0.57755","0.55894","-0.04075","0.9604","0.41989","0.55486","-0.04578","0.9642","0.58369","0.55660","-0.03991","0.9547","0.43237","0.55420","-0.04140","0.9512","0.56551","0.55186","-0.03624","0.9576","0.45793","0.51991","-0.00237","0.9693","0.53782","0.51745","0.00397","0.9549","0.45976","0.71922","-0.00394","0.9574","0.53862","0.72150","0.00334","0.9308","0.46045","0.92263","0.00196","0.9651","0.53987","0.92099","0.00889","0.9489","0.46062","0.93997","0.01787","0.9608","0.53986","0.93971","0.02453","0.9506","0.46229","0.94932","-0.02070","0.9652","0.53879","0.95044","-0.01571","0.9571"
"1","0.0333","0.50166","0.17675","0.00805","0.9727","0.49125","0.16846","0.00833","0.9541","0.48412","0.16929","0.00606","0.9748","0.47494","0.17284","0.00784","0.9456","0.51404","0.16986","0.01135","0.9704","0.51638","0.16735","0.01419","0.9253","0.52612","0.16748","0.01683","0.9580","0.47000","0.18152","0.01767","0.9760","0.53010","0.17970","0.02378","0.9125","0.48955","0.20388","0.01018","0.9732","0.51046","0.20381","0.01408","0.9563","0.43162","0.29945","0.00635","0.9285","0.56888","0.30105","0.01476","0.9494","0.41731","0.43329","-0.02391","0.9802","0.57857","0.43148","-0.01841","0.9369","0.43092","0.54233","-0.04054","0.9950","0.57383","0.54224","-0.03797","0.9342","0.42145","0.55896","-0.04792","0.9658","0.57909","0.56063","-0.04148","0.9691","0.41875","0.55554","-0.05136","0.9754","0.58259","0.55424","-0.04150","0.9472","0.43145","0.55550","-0.04442","0.9752","0.56328","0.55478","-0.03500","0.9263","0.45921","0.52059","-0.00628","0.9433","0.53812","0.52006","0.00332","0.9421","0.46549","0.72096","-0.00655","0.9655","0.53912","0.71821","0.00579","0.9590","0.46113","0.92162","-0.00157","0.9631","0.54086","0.92319","0.00955","0.9171","0.46005","0.94058","0.01686","0.9636","0.53988","0.93985","0.02499","0.9715","0.46264","0.95111","-0.02750","0.9569","0.53965","0.94915","-0.01808","0.9099"
"2","0.0667","0.50167","0.17759","0.00957","0.9582","0.48772","0.17420","0.00561","0.9495","0.48280","0.16697","0.00375","0.9523","0.47527","0.17218","0.00722","0.9287","0.51303","0.16857","0.01560","0.9410","0.51732","0.16819","0.01498","0.9490","0.52325","0.16799","0.01462","0.9577","0.46877","0.17896","0.01823","0.9675","0.53038","0.18014","0.02447","0.9286","0.49056","0.20339","0.00989","0.9537","0.50824","0.20848","0.00950","0.9799","0.42888","0.30223","0.00601","0.9676","0.57141","0.30299","0.01512","0.9673","0.41888","0.42935","-0.02229","0.9739","0.58195","0.42666","-0.01595","0.9461","0.42967","0.54025","-0.04222","0.9618","0.56888","0.53955","-0.03612","0.9397","0.42246","0.55724","-0.04875","0.9524","0.57644","0.55636","-0.04467","0.9333","0.41605","0.55573","-0.05001","0.9787","0.58142","0.55652","-0.04219","0.9514","0.43553","0.55489","-0.04444","0.9535","0.56683","0.55184","-0.03963","0.9225","0.46045","0.51884","-0.00408","0.9581","0.53936","0.52182","0.00335","0.9339","0.46010","0.72093","-0.00542","0.9708","0.53866","0.72023","0.00456","0.9172","0.46007","0.91896","0.00367","0.9716","0.54002","0.92200","0.01040","0.9158","0.46030","0.93900","0.01872","0.9219","0.54070","0.94372","0.02525","0.9331","0.46148","0.95172","-0.02403","0.9453","0.54506","0.94608","-0.01856","0.9451"
"3","0.1000","0.49871","0.18057","0.01188","0.9289","0.49050","0.17137","0.00534","0.9785","0.47839","0.16748","0.00556","0.9812","0.47611","0.16960","0.00388","0.9402","0.51229","0.17212","0.01255","0.9209","0.51858","0.16942","0.01337","0.9605","0.52265","0.16991","0.01149","0.9416","0.46652","0.18054","0.01526","0.9351","0.53189","0.17799","0.02352","0.9076","0.49297","0.20213","0.00997","0.9429","0.51226","0.20284","0.01247","0.9584","0.43009","0.29879","0.00818","0.9431","0.57061","0.29989","0.01290","0.9412","0.42118","0.43088","-0.02135","0.9656","0.58014","0.42757","-0.02097","0.9563","0.42706","0.54284","-0.04165","0.9503","0.56923","0.54150","-0.03677","0.9454","0.42299","0.55951","-0.04851","0.9496","0.57926","0.56098","-0.04334","0.9393","0.41936","0.55675","-0.04536","0.9739","0.58435","0.55605","-0.03961","0.8907","0.43405","0.55673","-0.04247","0.9702","0.56783","0.55819","-0.03288","0.9413","0.46404","0.51860","-0.00212","0.9813","0.54011","0.52204","0.00482","0.9375","0.45820","0.72057","-0.00332","0.9412","0.54351","0.72011","0.00361","0.9200","0.45939","0.91885","0.00147","0.9911","0.53852","0.92124","0.00936","0.9381","0.46299","0.93858","0.01764","0.9724","0.53963","0.94020","0.02513","0.9527","0.46004","0.95102","-0.02379","0.9551","0.54139","0.95111","-0.01436","0.9508"
"4","0.1333","0.50318","0.18003","0.01029","0.9821","0.48952","0.17267","0.00542","0.9630","0.48452","0.16700","0.01071","0.9542","0.47775","0.17134","0.00625","0.9790","0.51349","0.16991","0.01828","0.9657","0.51731","0.16583","0.01340","0.9367","0.52325","0.17024","0.01553","0.9393","0.47074","0.18032","0.01575","0.9736","0.52835","0.18048","0.02364","0.9575","0.48669","0.20741","0.00946","0.9736","0.51047","0.20612","0.01469","0.9769","0.42680","0.30250","0.00753","0.9311","0.57026","0.29967","0.01017","0.9516","0.41756","0.42959","-0.02300","0.9462","0.58242","0.43340","-0.01787","0.9398","0.43056","0.54155","-0.04281","0.9494","0.57108","0.54201","-0.03520","0.9533","0.42059","0.56066","-0.04666","0.9723","0.57506","0.56343","-0.04154","0.9698","0.41777","0.55790","-0.04771","0.9111","0.58264","0.55479","-0.04234","0.9296","0.43369","0.55825","-0.04238","0.9487","0.56825","0.55353","-0.03517","0.9555","0.46069","0.52135","-0.00583","0.9388","0.53937","0.51906","0.00208","0.9275","0.45920","0.72054","-0.00310","0.9407","0.54064","0.72325","0.00352","0.9624","0.45910","0.92080","-0.00110","0.9725","0.54438","0.91820","0.00681","0.9520","0.46029","0.94161","0.01353","0.9687","0.53989","0.94060","0.02606","0.9802","0.45934","0.95075","-0.02183","0.9650","0.53806","0.95266","-0.01595","0.9416"
"5","0.1667","0.49854","0.18069","0.00783","0.9693","0.48602","0.16795","0.00768","0.9672","0.48306","0.16847","0.00665","0.9679","0.47539","0.17202","0.00944","0.9845","0.51104","0.17264","0.01365","0.9713","0.51747","0.16893","0.01512","0.9221","0.52670","0.16773","0.01117","0.9277","0.46960","0.17846","0.01698","0.9787","0.52861","0.17849","0.02183","0.9223","0.48775","0.20496","0.00920","0.9414","0.50744","0.20614","0.01070","0.9481","0.43010","0.30130","0.00878","0.9664","0.56967","0.30120","0.01436","0.9296","0.42048","0.43160","-0.02299","0.9367","0.58170","0.42797","-0.01646","0.9516","0.43223","0.54193","-0.04248","0.9590","0.57163","0.53769","-0.03517","0.9363","0.42106","0.55881","-0.05099","0.9679","0.57909","0.56333","-0.03873","0.9034","0.41987","0.55114","-0.04857","0.9491","0.58361","0.55482","-0.04098","0.9466","0.43248","0.55340","-0.04266","0.9739","0.56764","0.55693","-0.03239","0.9288","0.45945","0.52159","0.00059","0.9928","0.54355","0.51941","0.00340","0.9628","0.46006","0.72409","-0.00073","0.9642","0.53964","0.71879","0.00112","0.9469","0.45810","0.91951","0.00250","0.9518","0.53941","0.91830","0.00543","0.9424","0.46045","0.94051","0.01459","0.9355","0.53860","0.93897","0.02467","0.9217","0.45740","0.94968","-0.02185","0.9613","0.54191","0.95212","-0.01783","0.9068"
"6","0.2000","0.50002","0.18195","0.00900","0.9595","0.48371","0.17394","0.00743","0.9679","0.47977","0.16667","0.00484","0.9589","0.47407","0.16851","0.00654","0.9356","0.51476","0.17287","0.01352","0.9536","0.51782","0.16765","0.01491","0.9629","0.52277","0.17008","0.01559","0.9407","0.47079","0.17865","0.01821","0.9950","0.53048","0.18012","0.02565","0.9366","0.49175","0.20675","0.01034","0.9530","0.51094","0.20450","0.01236","0.9757","0.43190","0.29989","0.00645","0.9950","0.56844","0.30545","0.01717","0.9471","0.42325","0.42513","-0.02414","0.9527","0.57954","0.42797","-0.01555","0.9329","0.43260","0.53946","-0.04554","0.9647","0.56837","0.54077","-0.03510","0.9185","0.42093","0.56082","-0.04763","0.9385","0.57973","0.55955","-0.04270","0.9500","0.41560","0.55236","-0.04732","0.9493","0.57996","0.55703","-0.04139","0.9552","0.43155","0.55517","-0.04266","0.9487","0.56758","0.55253","-0.03586","0.9327","0.46252","0.51940","-0.00276","0.9800","0.54135","0.51939","0.00477","0.9590","0.46089","0.71833","-0.00379","0.9886","0.53919","0.71840","0.00385","0.9519","0.46008","0.91779","0.00208","0.9660","0.53903","0.91957","0.00802","0.9445","0.46241","0.94117","0.01620","0.9950","0.54164","0.94241","0.02327","0.9352","0.46133","0.95098","-0.02307","0.9431","0.53902","0.95360","-0.01682","0.9448"
"7","0.2333","0.50122","0.18185","0.00979","0.9656","0.48894","0.16970","0.00749","0.9561","0.48070","0.16899","0.00602","0.9574","0.47736","0.16944","0.00775","0.9455","0.51168","0.16955","0.01239","0.9380","0.51759","0.16641","0.01273","0.9669","0.52450","0.17286","0.01324","0.9134","0.47404","0.17923","0.01613","0.9779","0.52885","0.18235","0.02516","0.9333","0.48858","0.20359","0.01048","0.9518","0.50781","0.20416","0.00829","0.9476","0.43040","0.29979","0.00623","0.9459","0.56802","0.30239","0.01620","0.9843","0.41813","0.42977","-0.02180","0.9693","0.57891","0.43234","-0.01638","0.9627","0.42945","0.54028","-0.04400","0.9556","0.56819","0.54207","-0.03463","0.9527","0.42214","0.56298","-0.04852","0.9519","0.57662","0.56079","-0.04030","0.9599","0.42034","0.55870","-0.04808","0.9676","0.58379","0.55813","-0.03993","0.9653","0.43357","0.55868","-0.04349","0.9472","0.56841","0.55555","-0.03645","0.9394","0.46234","0.51764","-0.00392","0.9506","0.53918","0.51974","0.00525","0.9235","0.46152","0.71715","-0.00048","0.9703","0.54149","0.71888","0.00519","0.9549","0.46242","0.91953","0.00036","0.9548","0.54047","0.92266","0.00983","0.9535","0.46048","0.94132","0.01642","0.9691","0.54146","0.94137","0.02517","0.9319","0.45880","0.95243","-0.02500","0.9576","0.53933","0.95113","-0.01799","0.9266"
"8","0.2667","0.50283","0.18090","0.00914","0.9314","0.48777","0.17011","0.00498","0.9462","0.48515","0.16896","0.00470","0.9126","0.47672","0.17085","0.00691","0.9533","0.51154","0.17332","0.01368","0.9371","0.52169","0.17073","0.01471","0.9334","0.52273","0.17264","0.01576","0.9412","0.46772","0.18026","0.01777","0.9244","0.52845","0.17905","0.02491","0.9291","0.48688","0.20616","0.01042","0.9191","0.51145","0.20612","0.01091","0.9738","0.43076","0.29811","0.00680","0.9908","0.56751","0.30026","0.01403","0.9877","0.41917","0.43309","-0.02218","0.9509","0.58138","0.43194","-0.01561","0.9704","0.42896","0.54160","-0.04160","0.9778","0.57065","0.53971","-0.03586","0.9066","0.42019","0.56061","-0.04847","0.9520","0.57872","0.55979","-0.04459","0.9515","0.41517","0.55595","-0.04912","0.9635","0.58310","0.55522","-0.04401","0.9534","0.43634","0.55202","-0.04025","0.9682","0.56823","0.55549","-0.03680","0.9058","0.46082","0.52116","-0.00356","0.9589","0.54140","0.52283","0.00212","0.9201","0.45967","0.72228","-0.00541","0.9797","0.53859","0.71950","0.00316","0.9416","0.45705","0.92033","0.00515","0.9328","0.53991","0.91934","0.00840","0.9487","0.45876","0.94111","0.01693","0.9886","0.54079","0.94023","0.02389","0.9424","0.46109","0.94782","-0.02315","0.9674","0.54304","0.94997","-0.01423","0.9047"
"9","0.3000","0.50134","0.17917","0.01046","0.9676","0.49088","0.17442","0.00558","0.9504","0.48368","0.16879","0.00543","0.9367","0.47491","0.17101","0.00746","0.9740","0.51156","0.17015","0.01416","0.9551","0.51803","0.17096","0.01436","0.9440","0.52288","0.17068","0.01645","0.9270","0.47219","0.18145","0.01917","0.9758","0.53440","0.17871","0.02513","0.9319","0.49195","0.20451","0.00971","0.9415","0.50953","0.20351","0.00887","0.9570","0.42904","0.30075","0.00772","0.9345","0.57120","0.29902","0.01816","0.9656","0.42290","0.43157","-0.02536","0.9529","0.58026","0.43092","-0.01684","0.9374","0.42764","0.54050","-0.04535","0.9507","0.57337","0.53970","-0.03637","0.9572","0.42118","0.56058","-0.04935","0.9588","0.57776","0.56211","-0.04306","0.9526","0.41762","0.55428","-0.04740","0.9665","0.58148","0.55763","-0.04298","0.9117","0.43758","0.55639","-0.04263","0.9433","0.56744","0.55482","-0.03469","0.9448","0.46045","0.51674","-0.00111","0.9532","0.53959","0.51843","0.00707","0.9950","0.46092","0.71809","-0.00474","0.9498","0.53797","0.71711","0.00621","0.9163","0.45862","0.91913","0.00138","0.9590","0.54203","0.92055","0.01165","0.9430","0.45949","0.94002","0.02020","0.9578","0.54260","0.93748","0.02498","0.9581","0.46174","0.95097","-0.02116","0.9663","0.54021","0.95215","-0.01999","0.9586"
