frame,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_visibility,left_eye_x,left_eye_y,left_eye_z,left_eye_visibility,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_visibility,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_visibility,right_eye_x,right_eye_y,right_eye_z,right_eye_visibility,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_visibility,left_ear_x,left_ear_y,left_ear_z,left_ear_visibility,right_ear_x,right_ear_y,right_ear_z,right_ear_visibility,mouth_left_x,mouth_left_y,mouth_left_z,mouth_left_visibility,mouth_right_x,mouth_right_y,mouth_right_z,mouth_right_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_visibility,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_visibility,left_index_x,left_index_y,left_index_z,left_index_visibility,right_index_x,right_index_y,right_index_z,right_index_visibility,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_visibility,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_visibility,left_hip_x,left_hip_y,left_hip_z,left_hip_visibility,right_hip_x,right_hip_y,right_hip_z,right_hip_visibility,left_knee_x,left_knee_y,left_knee_z,left_knee_visibility,right_knee_x,right_knee_y,right_knee_z,right_knee_visibility,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_visibility,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_visibility,left_heel_x,left_heel_y,left_heel_z,left_heel_visibility,right_heel_x,right_heel_y,right_heel_z,right_heel_visibility,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_visibility,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_visibility
0,0.0,0.50152,0.18137,0.01269,0.9413,0.48808,0.17023,0.01057,0.9551,0.48184,0.16681,0.01019,0.9745,0.47464,0.16965,0.01255,0.9531,0.51146,0.16915,0.01021,0.969,0.51811,0.16634,0.00904,0.9222,0.52343,0.16839,0.00953,0.9224,0.46882,0.17931,0.01797,0.9554,0.52789,0.18326,0.02087,0.9267,0.49053,0.20413,0.00792,0.9998,0.51127,0.2051,0.01196,0.977,0.42877,0.30286,0.01128,0.9326,0.5716,0.29963,0.00908,0.9832,0.4204,0.43164,-0.02027,0.9785,0.58063,0.42973,-0.01777,0.935,0.42949,0.53864,-0.03836,0.9499,0.57102,0.54076,-0.04006,0.9601,0.42143,0.55819,-0.04735,0.9583,0.57854,0.55804,-0.04577,0.967,0.4199,0.55533,-0.04349,0.9604,0.58289,0.55735,-0.04361,0.9704,0.43218,0.55401,-0.03881,0.9516,0.56583,0.55341,-0.03986,0.9618,0.45979,0.51936,0.00247,0.973,0.53815,0.51737,-0.00013,0.9658,0.46039,0.72039,-0.00164,0.9524,0.54009,0.72097,-5e-05,0.9483,0.46006,0.92116,0.00489,0.9648,0.54025,0.92008,0.00526,0.9563,0.46055,0.94181,0.0218,0.9598,0.53955,0.93948,0.01897,0.9653,0.46124,0.94928,-0.01786,0.9792,0.53815,0.95001,-0.02009,0.9733
1,0.0333,0.50199,0.17853,0.00879,0.964,0.49088,0.16868,0.0116,0.9521,0.4834,0.16853,0.00844,0.9701,0.4755,0.17278,0.0098,0.9566,0.51381,0.16994,0.00768,0.9784,0.51596,0.16748,0.01059,0.9557,0.5259,0.16929,0.01267,0.9686,0.47114,0.18085,0.02106,0.9595,0.52983,0.17949,0.02252,0.9384,0.49052,0.20514,0.01106,0.9527,0.51052,0.20415,0.0114,0.9577,0.43133,0.29994,0.0109,0.9377,0.56817,0.30066,0.01154,0.9728,0.41956,0.43125,-0.02011,0.9826,0.57892,0.4315,-0.02195,0.9582,0.43073,0.54071,-0.03717,0.9728,0.57234,0.54141,-0.04036,0.9706,0.42085,0.56029,-0.04625,0.9724,0.57923,0.56065,-0.04632,0.9717,0.41694,0.5556,-0.04623,0.9623,0.58139,0.55372,-0.04558,0.9668,0.43234,0.5545,-0.0402,0.9582,0.564,0.55476,-0.03801,0.9447,0.45988,0.52083,-0.00174,0.9493,0.53865,0.51993,-0.00215,0.9576,0.46433,0.71976,-0.00221,0.9632,0.5383,0.71966,0.00299,0.9617,0.46219,0.92062,0.00204,0.9422,0.53904,0.92165,0.00628,0.941,0.45997,0.94082,0.02,0.9528,0.53816,0.94046,0.02011,0.9819,0.46109,0.95189,-0.02398,0.9631,0.53907,0.94967,-0.02031,0.941
2,0.0667,0.50148,0.17711,0.01098,0.9622,0.48783,0.17292,0.00888,0.9433,0.4816,0.16714,0.00781,0.9486,0.47522,0.16956,0.01046,0.939,0.51306,0.16993,0.01068,0.9628,0.51696,0.16764,0.0119,0.9602,0.5236,0.16765,0.01013,0.9757,0.46887,0.18007,0.02085,0.9693,0.53098,0.18144,0.02074,0.9512,0.4919,0.20413,0.00966,0.9447,0.50782,0.20851,0.01136,0.9788,0.42973,0.30284,0.01027,0.9659,0.57061,0.30203,0.01091,0.9744,0.41917,0.42805,-0.01963,0.9687,0.58094,0.42757,-0.0187,0.9623,0.42988,0.53809,-0.03801,0.966,0.56979,0.53775,-0.03941,0.9579,0.42302,0.55805,-0.04592,0.9644,0.57666,0.55767,-0.04606,0.9457,0.41612,0.55467,-0.04551,0.9855,0.58194,0.5557,-0.04599,0.9604,0.43543,0.55504,-0.04117,0.9528,0.56684,0.55112,-0.04168,0.931,0.4595,0.51815,-0.00137,0.9659,0.53903,0.52105,0.00151,0.9576,0.45994,0.72123,-0.00232,0.9516,0.53848,0.72227,0.00084,0.9417,0.45968,0.91795,0.00702,0.974,0.54107,0.92226,0.00581,0.9442,0.46027,0.93853,0.02247,0.9412,0.54022,0.94269,0.02149,0.9407,0.46135,0.9517,-0.01824,0.94,0.54266,0.94755,-0.02123,0.9788
3,0.1,0.50035,0.17977,0.01165,0.954,0.48961,0.1709,0.00813,0.9625,0.47838,0.16685,0.00915,0.98,0.4761,0.16959,0.00835,0.9402,0.51123,0.17218,0.00877,0.9389,0.51959,0.1682,0.0104,0.9642,0.5224,0.16968,0.00777,0.9667,0.4677,0.17902,0.01864,0.924,0.53115,0.1772,0.01839,0.9283,0.49173,0.20252,0.0101,0.9418,0.51139,0.20214,0.01183,0.9522,0.43004,0.29945,0.01024,0.9562,0.57054,0.29984,0.00826,0.9667,0.42024,0.4295,-0.01914,0.9702,0.5805,0.4275,-0.02269,0.9738,0.42776,0.54156,-0.03849,0.9518,0.56881,0.54236,-0.03963,0.9657,0.42181,0.55949,-0.04522,0.9584,0.57989,0.56006,-0.04756,0.9667,0.41805,0.55498,-0.04113,0.9715,0.58312,0.55563,-0.04356,0.9323,0.43443,0.55586,-0.03887,0.9658,0.56705,0.55715,-0.03597,0.9672,0.46322,0.52012,0.00046,0.961,0.54125,0.52191,0.00179,0.9573,0.45685,0.71972,0.00094,0.9507,0.54125,0.72151,-0.00117,0.9378,0.45879,0.91958,0.00547,0.9676,0.53817,0.92119,0.00572,0.9573,0.46099,0.93889,0.02136,0.9688,0.53996,0.94107,0.02151,0.9709,0.45963,0.95245,-0.02044,0.9544,0.54109,0.9516,-0.01748,0.9668
4,0.1333,0.50187,0.17879,0.0094,0.977,0.49074,0.17317,0.00872,0.9523,0.48449,0.16717,0.01186,0.9736,0.47706,0.17051,0.01026,0.9766,0.51398,0.16941,0.01336,0.9624,0.51702,0.16703,0.00984,0.9455,0.52305,0.16942,0.01162,0.9664,0.46962,0.18038,0.0178,0.9684,0.52932,0.18026,0.01923,0.9651,0.4868,0.20663,0.00904,0.9715,0.51099,0.2066,0.0143,0.9892,0.42701,0.30145,0.01052,0.9562,0.57074,0.30079,0.00666,0.9639,0.41834,0.42866,-0.02023,0.9391,0.58114,0.43371,-0.02072,0.9415,0.43047,0.54141,-0.03868,0.9493,0.56994,0.54254,-0.03984,0.9688,0.42178,0.55909,-0.04321,0.9598,0.57539,0.5628,-0.04528,0.9857,0.41939,0.55681,-0.04505,0.9303,0.58194,0.55373,-0.04542,0.9497,0.43209,0.55639,-0.03803,0.9595,0.56582,0.55238,-0.03833,0.9646,0.46165,0.51991,-0.0017,0.9379,0.53957,0.51813,-0.00136,0.9578,0.46095,0.71928,-0.00056,0.951,0.53899,0.72169,-0.00087,0.9745,0.46102,0.92043,0.00394,0.9653,0.54178,0.9185,0.00338,0.9751,0.45899,0.94214,0.01667,0.9651,0.53981,0.94051,0.0215,0.9899,0.45915,0.95058,-0.0185,0.9699,0.5382,0.95276,-0.02147,0.9584
5,0.1667,0.49973,0.18161,0.00926,0.9695,0.48743,0.16783,0.00966,0.9548,0.48347,0.16761,0.01061,0.9696,0.47531,0.17225,0.01208,0.9805,0.51046,0.17215,0.00923,0.9901,0.51763,0.16801,0.00976,0.9386,0.5247,0.16938,0.00793,0.9633,0.47017,0.17793,0.02026,0.9629,0.5292,0.17859,0.01871,0.945,0.48765,0.20343,0.0099,0.9517,0.50695,0.20511,0.0104,0.9475,0.4297,0.30035,0.01127,0.9619,0.56964,0.30149,0.00987,0.9632,0.41999,0.43081,-0.01937,0.9522,0.58169,0.42757,-0.01934,0.9689,0.4309,0.54068,-0.03963,0.961,0.57093,0.53679,-0.03973,0.9472,0.42167,0.55843,-0.04821,0.9729,0.57722,0.56086,-0.04299,0.9287,0.41858,0.55155,-0.04508,0.9495,0.58352,0.55435,-0.04583,0.9602,0.43264,0.55292,-0.03981,0.9757,0.56664,0.55647,-0.03827,0.9581,0.45844,0.52088,0.00327,0.9798,0.54249,0.52029,0.00071,0.9634,0.45822,0.72384,0.00111,0.9675,0.539,0.71855,-0.00292,0.959,0.45848,0.91956,0.00423,0.9738,0.53798,0.91851,0.00239,0.9794,0.45996,0.93946,0.01816,0.9496,0.53852,0.93836,0.02053,0.9385,0.45799,0.94943,-0.01833,0.957,0.5414,0.9527,-0.01997,0.9502
6,0.2,0.49891,0.18182,0.00919,0.9439,0.48347,0.17198,0.00947,0.9716,0.48073,0.16601,0.00986,0.9536,0.474,0.16823,0.00899,0.9462,0.51541,0.17279,0.00908,0.9592,0.51815,0.16745,0.0099,0.9791,0.52271,0.17111,0.01141,0.9526,0.46945,0.17901,0.0206,0.9802,0.53162,0.17973,0.02127,0.9448,0.49016,0.20633,0.01064,0.944,0.51006,0.20615,0.01204,0.9737,0.43113,0.29867,0.0101,0.9789,0.56868,0.3032,0.01264,0.9648,0.42245,0.42603,-0.02075,0.9651,0.57829,0.42817,-0.02099,0.9657,0.43214,0.53911,-0.04137,0.9645,0.56808,0.5397,-0.0388,0.9462,0.4201,0.56139,-0.04404,0.9343,0.57843,0.55972,-0.04622,0.9677,0.41637,0.55316,-0.04459,0.9536,0.58035,0.55656,-0.04519,0.995,0.4323,0.555,-0.04103,0.9461,0.56795,0.55385,-0.03951,0.9528,0.46283,0.51875,0.00034,0.9559,0.54097,0.51905,0.00077,0.9664,0.46082,0.71924,-0.00053,0.9882,0.53866,0.71884,0.00108,0.9602,0.4606,0.91932,0.00548,0.9501,0.53955,0.91778,0.00441,0.9748,0.46087,0.94065,0.01956,0.9723,0.54203,0.94031,0.02185,0.9562,0.46001,0.95047,-0.02005,0.9571,0.54004,0.95214,-0.02151,0.95
7,0.2333,0.50051,0.18042,0.00988,0.9417,0.48758,0.16901,0.0091,0.9555,0.48107,0.16828,0.00935,0.9602,0.47575,0.16927,0.01004,0.9437,0.50948,0.169,0.00828,0.9498,0.51707,0.16651,0.00883,0.9779,0.52479,0.17168,0.01037,0.9388,0.47359,0.1786,0.01942,0.9749,0.52753,0.18196,0.02173,0.9555,0.48867,0.20272,0.01009,0.9478,0.50717,0.20413,0.00827,0.9606,0.42921,0.29953,0.00746,0.9471,0.56766,0.30162,0.01095,0.9889,0.41763,0.4276,-0.019,0.9703,0.57904,0.43189,-0.02043,0.9649,0.42954,0.54071,-0.04119,0.9609,0.56806,0.54118,-0.03943,0.9757,0.42196,0.56181,-0.04458,0.9581,0.57755,0.56054,-0.04436,0.9911,0.41911,0.55691,-0.04601,0.965,0.58498,0.5567,-0.04413,0.9688,0.43393,0.55819,-0.03984,0.946,0.56695,0.55415,-0.04105,0.9503,0.46298,0.5182,-0.00171,0.9642,0.54073,0.51896,0.0016,0.9418,0.45949,0.7193,0.00125,0.9452,0.53955,0.7196,0.00106,0.9648,0.46119,0.91939,0.00327,0.9621,0.53928,0.9209,0.00693,0.9694,0.45908,0.94104,0.01946,0.9656,0.54179,0.94192,0.02174,0.9522,0.45843,0.95314,-0.02241,0.9655,0.53907,0.94914,-0.0224,0.9402
8,0.2667,0.50365,0.1809,0.00938,0.9507,0.48722,0.16917,0.00864,0.9466,0.48365,0.16885,0.00932,0.9428,0.47648,0.17065,0.01022,0.9703,0.51276,0.17205,0.00943,0.9683,0.52027,0.16891,0.00999,0.9493,0.52265,0.17145,0.01172,0.9663,0.468,0.17961,0.02127,0.9427,0.5278,0.178,0.02118,0.9464,0.48658,0.20586,0.00822,0.9442,0.51085,0.20466,0.01032,0.9821,0.42978,0.29829,0.00982,0.9793,0.56638,0.29894,0.00786,0.9868,0.41991,0.43242,-0.01856,0.9621,0.58104,0.43029,-0.01963,0.9864,0.42914,0.54099,-0.03855,0.9717,0.57009,0.53964,-0.0411,0.9384,0.42016,0.56105,-0.04514,0.9586,0.57857,0.55937,-0.04674,0.976,0.41512,0.55625,-0.04651,0.9659,0.58169,0.55515,-0.04846,0.9784,0.43429,0.55291,-0.03798,0.9561,0.56797,0.55518,-0.04164,0.9469,0.45932,0.52026,-0.00115,0.952,0.54015,0.52252,-0.00073,0.9403,0.45954,0.7196,-0.00148,0.9867,0.53805,0.71718,0.00116,0.9754,0.45892,0.92005,0.00708,0.9407,0.54069,0.91906,0.00499,0.959,0.46049,0.94007,0.01954,0.9694,0.54033,0.93892,0.02031,0.9555,0.46016,0.94758,-0.02098,0.9686,0.54274,0.94936,-0.01904,0.9262
9,0.3,0.49986,0.18099,0.00923,0.953,0.48953,0.17269,0.01044,0.9554,0.48363,0.16836,0.00792,0.919,0.47517,0.17152,0.01172,0.9707,0.51135,0.1701,0.01064,0.9598,0.51699,0.16964,0.00932,0.9717,0.52196,0.16852,0.01188,0.9578,0.47095,0.18114,0.02181,0.967,0.53313,0.17865,0.02072,0.9499,0.49008,0.20255,0.00966,0.9541,0.50912,0.20238,0.00953,0.9538,0.42767,0.30066,0.00943,0.9392,0.57217,0.29953,0.01257,0.9683,0.42001,0.43164,-0.02235,0.961,0.58024,0.4303,-0.02019,0.9435,0.42837,0.53977,-0.04074,0.9545,0.57269,0.53935,-0.04066,0.965,0.42178,0.56117,-0.04582,0.9647,0.57811,0.55988,-0.0469,0.9741,0.41745,0.55425,-0.04408,0.9746,0.58192,0.55688,-0.04646,0.9448,0.43482,0.55581,-0.03972,0.9485,0.56794,0.55488,-0.0389,0.968,0.45976,0.51734,0.00209,0.9554,0.53956,0.51912,0.00136,0.9997,0.46136,0.71881,-0.00128,0.9647,0.53884,0.71729,0.00101,0.9472,0.45731,0.91954,0.00395,0.9702,0.54099,0.92014,0.00584,0.974,0.45794,0.9397,0.0224,0.9704,0.54159,0.93818,0.0195,0.9911,0.46011,0.94977,-0.01852,0.9573,0.54096,0.95188,-0.02187,0.985
