group_label,sex,age_group,n_basis,segment,formula_desc,segment_mean_mm,stature_mean_mm,ratio_to_stature_mean,ratio_to_torso_proxy_mean,ratio_to_relevant_scale_mean,proxy_level,ratio_p05_p95_available,notes
overall_weighted_by_sex,전체_가중,전체,4488,full_body_height,m138,1668.356506,1668.356506,1,3.1141692575106164,1,reference,not_available_from_marginal_pdf,3D full-body auto stature; use as main global scale.
overall_weighted_by_sex,전체_가중,전체,4488,shoulder_width,m299,370.372549,1668.356506,0.2219984443780507,0.691340730697306,1.049924455823211,proxy_close,not_available_from_marginal_pdf,Seated shoulder-outside breadth proxy; closer to transverse shoulder landmark distance than shoulder length. Compare m298 as sensitivity.
overall_weighted_by_sex,전체_가중,전체,4488,shoulder_width_alt,m298,371.573975,1668.356506,0.22271856984025212,0.6935833232732442,1.0533302334454122,proxy_close_alt,not_available_from_marginal_pdf,Alternative seated shoulder breadth proxy; keep separate from m299.
overall_weighted_by_sex,전체_가중,전체,4488,hip_width,m265,352.761141,1668.356506,0.2114423024883148,0.6584671181463705,0.952449478106435,proxy,not_available_from_marginal_pdf,Surface hip breadth proxy; can exceed pose-model internal hip-joint distance.
overall_weighted_by_sex,전체_가중,전체,4488,torso_shoulder_hip_vertical,m145 - m155,535.730838,1668.356506,0.32111292524908336,1,0.32111292524908336,vertical_proxy,not_available_from_marginal_pdf,Standing vertical proxy; not 3D Euclidean shoulder-center to hip-center segment.
overall_weighted_by_sex,전체_가중,전체,4488,trunk_vertical,m192,651.819964,1668.356506,0.3906958504707027,1.216693006572827,0.3906958504707027,proxy,not_available_from_marginal_pdf,Trunk vertical length proxy; do not collapse with shoulder-hip vertical proxy until validated.
overall_weighted_by_sex,전체_가중,전체,4488,upper_arm,m189,320.447415,1668.356506,0.19207370477925895,0.5981500265997381,0.5743867790020805,proxy_close,not_available_from_marginal_pdf,Preferred over m188 if MediaPipe shoulder uses lateral shoulder landmark convention.
overall_weighted_by_sex,전체_가중,전체,4488,upper_arm_alt,m188,320.00713,1668.356506,0.19180980135189404,0.5973281866592867,0.5750822468347347,proxy_close_alt,not_available_from_marginal_pdf,Alternative shoulder-point definition; keep as sensitivity analysis.
overall_weighted_by_sex,전체_가중,전체,4488,forearm,m191 - m189,237.447415,1668.356506,0.14232414603596721,0.4432214801866605,0.42561321920546713,derived_proxy,not_available_from_marginal_pdf,Compute row-level from raw; aggregate mean difference only as fallback.
overall_weighted_by_sex,전체_가중,전체,4488,forearm_alt,m190 - m188,236.447415,1668.356506,0.14172475376195165,0.44135487119373185,0.42491775316526526,derived_proxy_alt,not_available_from_marginal_pdf,Alternative forearm derivation based on shoulder-point definition.
overall_weighted_by_sex,전체_가중,전체,4488,thigh,m155 - m159,381.566845,1668.356506,0.22870821891349402,0.7122361042804112,0.37412110143006183,vertical_proxy,not_available_from_marginal_pdf,"Primary auto-only proxy for MediaPipe hip-knee. Uses hip height to knee height; vertical-only, not Euclidean 3D segment."
overall_weighted_by_sex,전체_가중,전체,4488,thigh_straight_item_alt,m195,287.245989,1668.356506,0.1721730265485595,0.5361759462500832,0.28164078507934154,definition_check_required,not_available_from_marginal_pdf,3D auto m195 is substantially shorter than hip-height minus knee-height; do not use as primary hip-knee prior unless definition is confirmed.
overall_weighted_by_sex,전체_가중,전체,4488,shank,m159 - m161,364.730838,1668.356506,0.21861684639242207,0.6808098622092015,0.35761362557082094,vertical_proxy,not_available_from_marginal_pdf,Vertical knee-to-lateral-malleolus proxy; not ankle joint center segment.
overall_weighted_by_sex,전체_가중,전체,4488,sitting_height,m290,908.536542,1668.356506,0.5445697839356165,1.6958824797014955,0.5445697839356165,proxy,not_available_from_marginal_pdf,Includes head/neck; not torso segment.
overall_weighted_by_sex,전체_가중,전체,4488,crotch_height,m156,760.01426,1668.356506,0.45554667558565565,1.4186494524700108,0.45554667558565565,proxy,not_available_from_marginal_pdf,Inseam/crotch-height proxy; useful for lower-limb scale.
overall_weighted_by_sex,전체_가중,전체,4488,outside_leg_length,m278,1019.901961,1668.356506,0.6113213556767225,1.9037581723081622,0.6113213556767225,proxy,not_available_from_marginal_pdf,Whole outside leg length; not a single pose segment.
overall_weighted_by_sex,전체_가중,전체,4488,foot,not_available,,1668.356506,,,,not_available,not_available_from_marginal_pdf,Requires 3D foot auto or another foot measurement source; excluded by auto-only scope.
overall_weighted_by_sex,전체_가중,전체,4488,arm_span,not_available,,1668.356506,,,,not_available,not_available_from_marginal_pdf,Do not substitute wall-forward fist length or wall-shoulder horizontal length.
sex_total,남자,전체,1976,full_body_height,m138,1740,1740,1,3.1238779174147218,1,reference,no_raw_ratio_distribution,3D full-body auto stature; use as main global scale.
sex_total,남자,전체,1976,shoulder_width,m299,395,1740,0.22701149425287356,0.7091561938958707,1.1126760563380282,proxy_close,no_raw_ratio_distribution,Seated shoulder-outside breadth proxy; closer to transverse shoulder landmark distance than shoulder length. Compare m298 as sensitivity.
sex_total,남자,전체,1976,shoulder_width_alt,m298,399,1740,0.2293103448275862,0.7163375224416517,1.123943661971831,proxy_close_alt,no_raw_ratio_distribution,Alternative seated shoulder breadth proxy; keep separate from m299.
sex_total,남자,전체,1976,hip_width,m265,355,1740,0.20402298850574713,0.6373429084380611,0.8987341772151899,proxy,no_raw_ratio_distribution,Surface hip breadth proxy; can exceed pose-model internal hip-joint distance.
sex_total,남자,전체,1976,torso_shoulder_hip_vertical,m145 - m155,557,1740,0.3201149425287356,1,0.3201149425287356,vertical_proxy,no_raw_ratio_distribution,Standing vertical proxy; not 3D Euclidean shoulder-center to hip-center segment.
sex_total,남자,전체,1976,trunk_vertical,m192,691,1740,0.3971264367816092,1.2405745062836624,0.3971264367816092,proxy,no_raw_ratio_distribution,Trunk vertical length proxy; do not collapse with shoulder-hip vertical proxy until validated.
sex_total,남자,전체,1976,upper_arm,m189,335,1740,0.1925287356321839,0.6014362657091562,0.5706984667802385,proxy_close,no_raw_ratio_distribution,Preferred over m188 if MediaPipe shoulder uses lateral shoulder landmark convention.
sex_total,남자,전체,1976,upper_arm_alt,m188,334,1740,0.19195402298850575,0.599640933572711,0.5709401709401709,proxy_close_alt,no_raw_ratio_distribution,Alternative shoulder-point definition; keep as sensitivity analysis.
sex_total,남자,전체,1976,forearm,m191 - m189,252,1740,0.14482758620689656,0.4524236983842011,0.4293015332197615,derived_proxy,no_raw_ratio_distribution,Compute row-level from raw; aggregate mean difference only as fallback.
sex_total,남자,전체,1976,forearm_alt,m190 - m188,251,1740,0.1442528735632184,0.4506283662477558,0.42905982905982903,derived_proxy_alt,no_raw_ratio_distribution,Alternative forearm derivation based on shoulder-point definition.
sex_total,남자,전체,1976,thigh,m155 - m159,395,1740,0.22701149425287356,0.7091561938958707,0.3715898400752587,vertical_proxy,no_raw_ratio_distribution,"Primary auto-only proxy for MediaPipe hip-knee. Uses hip height to knee height; vertical-only, not Euclidean 3D segment."
sex_total,남자,전체,1976,thigh_straight_item_alt,m195,299,1740,0.17183908045977012,0.5368043087971275,0.2812793979303857,definition_check_required,no_raw_ratio_distribution,3D auto m195 is substantially shorter than hip-height minus knee-height; do not use as primary hip-knee prior unless definition is confirmed.
sex_total,남자,전체,1976,shank,m159 - m161,386,1740,0.2218390804597701,0.6929982046678635,0.36312323612417685,vertical_proxy,no_raw_ratio_distribution,Vertical knee-to-lateral-malleolus proxy; not ankle joint center segment.
sex_total,남자,전체,1976,sitting_height,m290,941,1740,0.5408045977011494,1.689407540394973,0.5408045977011494,proxy,no_raw_ratio_distribution,Includes head/neck; not torso segment.
sex_total,남자,전체,1976,crotch_height,m156,788,1740,0.4528735632183908,1.414721723518851,0.4528735632183908,proxy,no_raw_ratio_distribution,Inseam/crotch-height proxy; useful for lower-limb scale.
sex_total,남자,전체,1976,outside_leg_length,m278,1063,1740,0.610919540229885,1.9084380610412925,0.610919540229885,proxy,no_raw_ratio_distribution,Whole outside leg length; not a single pose segment.
sex_total,남자,전체,1976,foot,not_available,,1740,,,,not_available,not_available,Requires 3D foot auto or another foot measurement source; excluded by auto-only scope.
sex_total,남자,전체,1976,arm_span,not_available,,1740,,,,not_available,not_available,Do not substitute wall-forward fist length or wall-shoulder horizontal length.
sex_total,여자,전체,2512,full_body_height,m138,1612,1612,1,3.1059730250481694,1,reference,no_raw_ratio_distribution,3D full-body auto stature; use as main global scale.
sex_total,여자,전체,2512,shoulder_width,m299,351,1612,0.21774193548387097,0.6763005780346821,1,proxy_close,no_raw_ratio_distribution,Seated shoulder-outside breadth proxy; closer to transverse shoulder landmark distance than shoulder length. Compare m298 as sensitivity.
sex_total,여자,전체,2512,shoulder_width_alt,m298,350,1612,0.21712158808933002,0.674373795761079,0.9971509971509972,proxy_close_alt,no_raw_ratio_distribution,Alternative seated shoulder breadth proxy; keep separate from m299.
sex_total,여자,전체,2512,hip_width,m265,351,1612,0.21774193548387097,0.6763005780346821,1,proxy,no_raw_ratio_distribution,Surface hip breadth proxy; can exceed pose-model internal hip-joint distance.
sex_total,여자,전체,2512,torso_shoulder_hip_vertical,m145 - m155,519,1612,0.3219602977667494,1,0.3219602977667494,vertical_proxy,no_raw_ratio_distribution,Standing vertical proxy; not 3D Euclidean shoulder-center to hip-center segment.
sex_total,여자,전체,2512,trunk_vertical,m192,621,1612,0.38523573200992556,1.1965317919075145,0.38523573200992556,proxy,no_raw_ratio_distribution,Trunk vertical length proxy; do not collapse with shoulder-hip vertical proxy until validated.
sex_total,여자,전체,2512,upper_arm,m189,309,1612,0.19168734491315137,0.5953757225433526,0.577570093457944,proxy_close,no_raw_ratio_distribution,Preferred over m188 if MediaPipe shoulder uses lateral shoulder landmark convention.
sex_total,여자,전체,2512,upper_arm_alt,m188,309,1612,0.19168734491315137,0.5953757225433526,0.5786516853932584,proxy_close_alt,no_raw_ratio_distribution,Alternative shoulder-point definition; keep as sensitivity analysis.
sex_total,여자,전체,2512,forearm,m191 - m189,226,1612,0.1401985111662531,0.43545279383429675,0.4224299065420561,derived_proxy,no_raw_ratio_distribution,Compute row-level from raw; aggregate mean difference only as fallback.
sex_total,여자,전체,2512,forearm_alt,m190 - m188,225,1612,0.13957816377171217,0.43352601156069365,0.42134831460674155,derived_proxy_alt,no_raw_ratio_distribution,Alternative forearm derivation based on shoulder-point definition.
sex_total,여자,전체,2512,thigh,m155 - m159,371,1612,0.23014888337468983,0.7148362235067437,0.3762677484787018,vertical_proxy,no_raw_ratio_distribution,"Primary auto-only proxy for MediaPipe hip-knee. Uses hip height to knee height; vertical-only, not Euclidean 3D segment."
sex_total,여자,전체,2512,thigh_straight_item_alt,m195,278,1612,0.17245657568238212,0.535645472061657,0.281947261663286,definition_check_required,no_raw_ratio_distribution,3D auto m195 is substantially shorter than hip-height minus knee-height; do not use as primary hip-knee prior unless definition is confirmed.
sex_total,여자,전체,2512,shank,m159 - m161,348,1612,0.21588089330024815,0.6705202312138728,0.35294117647058826,vertical_proxy,no_raw_ratio_distribution,Vertical knee-to-lateral-malleolus proxy; not ankle joint center segment.
sex_total,여자,전체,2512,sitting_height,m290,883,1612,0.5477667493796526,1.701348747591522,0.5477667493796526,proxy,no_raw_ratio_distribution,Includes head/neck; not torso segment.
sex_total,여자,전체,2512,crotch_height,m156,738,1612,0.45781637717121587,1.4219653179190752,0.45781637717121587,proxy,no_raw_ratio_distribution,Inseam/crotch-height proxy; useful for lower-limb scale.
sex_total,여자,전체,2512,outside_leg_length,m278,986,1612,0.6116625310173698,1.8998073217726397,0.6116625310173698,proxy,no_raw_ratio_distribution,Whole outside leg length; not a single pose segment.
sex_total,여자,전체,2512,foot,not_available,,1612,,,,not_available,not_available,Requires 3D foot auto or another foot measurement source; excluded by auto-only scope.
sex_total,여자,전체,2512,arm_span,not_available,,1612,,,,not_available,not_available,Do not substitute wall-forward fist length or wall-shoulder horizontal length.
